full_name,abbreviation
Abilene Christian,AblCh
Air Force,AFA
Akron,Akron
Alabama,Alab
Alabama A&M,AlaAM
Albany,Alban
Alcorn State,AlcSt
Appalachian State,AppSt
Arizona,Ariz
Arizona State,ArzSt
Arkansas,Ark
Arkansas State,ArkSt
Arkansas-Pine Bluff,ArkPB
Army,Army
Auburn,Aub
Austin Peay,APeay
BYU,BYU
Ball State,BalSt
Baylor,Bayl
Bethune-Cookman,BthCk
Boise State,BoiSt
Boston College,BC
Bowling Green,BwGrn
Buffalo,Buff
California,Cal
Campbell,Camp
Central Arkansas,CArk
Central Connecticut,CConn
Central Michigan,CMich
Charleston Southern,ChaSo
Charlotte,Charl
Cincinnati,Cincy
Clemson,Clem
Coastal Carolina,CCaro
Colorado,Colo
Colorado State,ColSt
Connecticut,UConn
Delaware State,DelSt
Drake,Drake
Duke,Duke
Duquesne,Duqsn
East Carolina,ECaro
Eastern Illinois,EIlln
Eastern Kentucky,EKent
Eastern Michigan,EMich
Eastern Washington,EWash
Elon,ElonU
Florida,Fla
Florida Atlantic,FlAtl
Florida International,FlaIn
Florida State,FlaSt
Fordham,Fordh
Fresno State,FrsSt
Gardner-Webb,GrdWb
Georgia,Geo
Georgia Southern,GeoSo
Georgia State,GeoSt
Georgia Tech,GTech
Grambling,Gramb
Hawai'i,Hawa
Houston,Houst
Houston Baptist,HstnB
Howard,Howrd
Idaho,Idaho
Idaho State,IdaSt
Illinois,Illin
Illinois State,IllSt
Indiana,Ind
Iowa,Iowa
Iowa State,IowSt
Jackson State,JckSt
James Madison,JMads
Kansas,Kans
Kansas State,KanSt
Kennesaw State,Ksaw
Kent State,KntSt
Kentucky,Kent
LSU,LSU
Lafayette,Lafay
Lehigh,Lehgh
Liberty,Liber
Louisiana,LaLaf
Louisiana Monroe,LaMon
Louisiana Tech,LaTch
Louisville,Lvile
Maine,Maine
Marshall,Marsh
Maryland,Mary
McNeese,McNSt
Memphis,Memph
Mercer,Mercr
Miami,MiaFl
Miami (OH),MiaOh
Michigan,Mich
Michigan State,MchSt
Middle Tennessee,MTnSt
Minnesota,Minn
Mississippi State,MisSt
Missouri,Misso
Missouri State,MoSt
Monmouth,MonNJ
Murray State,MurrS
NC State,NCSt
Navy,Navy
Nebraska,Neb
Nevada,Nevad
New Hampshire,NHamp
New Mexico,NMex
New Mexico State,NMxSt
Nicholls,NicSt
Norfolk State,NflkS
North Carolina,NCaro
North Carolina A&T,NCAT
North Carolina Central,NCCtl
North Texas,NoTex
Northern Arizona,NoArz
Northern Illinois,NoIll
Northern Iowa,NIowa
Northwestern,Nwest
Northwestern State,NWSt
Notre Dame,NDame
Ohio,Ohio
Ohio State,OhSt
Oklahoma,Okla
Oklahoma State,OKSt
Old Dominion,ODU
Ole Miss,Miss
Oregon,Oregn
Oregon State,OrgSt
Penn State,PnSt
Pittsburgh,Pitt
Portland State,PrtSt
Prairie View,PraVw
Purdue,Prdue
Rhode Island,RIsld
Rice,Rice
Richmond,Richm
Rutgers,Rutgr
SMU,SMU
San Diego State,SDSt
San José State,SJSt
Savannah State,SavSt
South Alabama,SAlab
South Carolina,SCaro
South Carolina State,SCSt
South Dakota,SDako
South Florida,SFla
Southeast Missouri State,SEMo
Southeastern Louisiana,SELa
Southern,Sthrn
Southern Mississippi,SoMis
Southern Utah,SoUth
Stanford,Stanf
Stephen F. Austin,SFAus
Stony Brook,StBrk
Syracuse,Syrac
TCU,TCU
Temple,Temp
Tennessee,Tenn
Tennessee State,TenSt
Tennessee Tech,TnTch
Texas,Texas
Texas A&M,TexAM
Texas Southern,TexSo
Texas State,TexSt
Texas Tech,TexTc
Toledo,Toled
Troy,Troy
Tulane,Tulan
Tulsa,Tulsa
UAB,UAB
UC Davis,UCDav
UCF,UCF
UCLA,UCLA
UMass,UMass
UNLV,UNLV
USC,USC
UT Martin,TnMar
UT San Antonio,TexSA
UTEP,UTEP
Utah,Utah
Utah State,UthSt
VMI,VMI
Vanderbilt,Vandy
Villanova,Villa
Virginia,Virg
Virginia Tech,VTech
Wake Forest,WFrst
Washington,Wash
Washington State,WshSt
Weber State,WebSt
West Virginia,WVirg
Western Kentucky,WKent
Western Michigan,WMich
Wisconsin,Wisc
Wofford,Woffd
Wyoming,Wyom
